drug_concept_id,drug_concept_name,vocabulary_id,concept_class_id,drug_concept_code,drug_class_name
19102106,mepirodipine,RxNorm,Ingredient,39879,CCB
1319133,Nimodipine,RxNorm,Ingredient,7426,CCB
1319880,Nisoldipine,RxNorm,Ingredient,7435,CCB
1318137,Nicardipine,RxNorm,Ingredient,7396,CCB
19015802,lercanidipine,RxNorm,Ingredient,135056,CCB
19004539,lacidipine,RxNorm,Ingredient,28382,CCB
19020061,Nitrendipine,RxNorm,Ingredient,7441,CCB
19071995,manidipine,RxNorm,Ingredient,29275,CCB
1345141,Mibefradil,RxNorm,Ingredient,83213,CCB
1332418,Amlodipine,RxNorm,Ingredient,17767,CCB
1318853,Nifedipine,RxNorm,Ingredient,7417,CCB
1353776,Felodipine,RxNorm,Ingredient,4316,CCB
19089969,clevidipine,RxNorm,Ingredient,233603,CCB
19113063,nilvadipine,RxNorm,Ingredient,53692,CCB
1326012,Isradipine,RxNorm,Ingredient,33910,CCB
40171563,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel],RxNorm,Branded Drug,898361,CCB
19036447,Nifedipine 20 MG Oral Capsule [Procardia],RxNorm,Branded Drug,207769,CCB
40171548,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel],RxNorm,Branded Drug,898344,CCB
40167847,Amlodipine 10 MG / telmisartan 80 MG Oral Tablet [Twynsta],RxNorm,Branded Drug,876523,CCB
19134240,Nifedipine 20 MG Extended Release Oral Tablet [Hypolar Retard 20],RxNorm,Branded Drug,844420,CCB
19128153,Amlodipine 10 MG / atorvastatin 40 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750207,CCB
19134239,Nifedipine 20 MG Extended Release Oral Tablet [Nifelease],RxNorm,Branded Drug,844419,CCB
19036450,Osmotic 24 HR Nifedipine 60 MG Extended Release Oral Tablet [Procardia],RxNorm,Branded Drug,207773,CCB
40171554,Amlodipine 2.5 MG / Benazepril hydrochloride 10 MG Oral Capsule [Lotrel],RxNorm,Branded Drug,898352,CCB
19134278,Nifedipine 20 MG Extended Release Oral Tablet [Adalat AR],RxNorm,Branded Drug,844458,CCB
19036471,Osmotic 24 HR Nifedipine 90 MG Extended Release Oral Tablet [Procardia],RxNorm,Branded Drug,207774,CCB
19134730,Nifedipine 60 MG Extended Release Oral Tablet [Nifediac],RxNorm,Branded Drug,844923,CCB
40226376,aliskiren 150 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],RxNorm,Branded Drug,1009253,CCB
19134815,Nifedipine 30 MG Extended Release Oral Tablet [Afeditab CR],RxNorm,Branded Drug,845007,CCB
40171557,Amlodipine 5 MG / Benazepril hydrochloride 10 MG Oral Capsule [Lotrel],RxNorm,Branded Drug,898355,CCB
19128149,Amlodipine 10 MG / atorvastatin 10 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750199,CCB
19134404,Nifedipine 60 MG Extended Release Oral Tablet [Procardia],RxNorm,Branded Drug,844585,CCB
1332421,Amlodipine 5 MG Oral Tablet [Norvasc],RxNorm,Branded Drug,212549,CCB
19134276,Nifedipine 20 MG Extended Release Oral Tablet [Nifensar XL],RxNorm,Branded Drug,844456,CCB
19134405,Nifedipine 90 MG Extended Release Oral Tablet [Procardia],RxNorm,Branded Drug,844586,CCB
1312776,Amlodipine 10 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor],RxNorm,Branded Drug,744624,CCB
19071510,lercanidipine 20 MG Oral Tablet [Lastolic],RxNorm,Branded Drug,542686,CCB
1332529,Amlodipine 10 MG / valsartan 160 MG Oral Tablet [Exforge],RxNorm,Branded Drug,724879,CCB
19134261,Nifedipine 20 MG Extended Release Oral Tablet [Slofedipine],RxNorm,Branded Drug,844441,CCB
19134816,Nifedipine 60 MG Extended Release Oral Tablet [Afeditab CR],RxNorm,Branded Drug,845008,CCB
40226395,aliskiren 300 MG / Amlodipine 5 MG Oral Tablet [Tekamlo],RxNorm,Branded Drug,1009324,CCB
40167853,Amlodipine 5 MG / telmisartan 80 MG Oral Tablet [Twynsta],RxNorm,Branded Drug,876533,CCB
19134539,Nifedipine 20 MG Extended Release Oral Tablet [Coroday MR],RxNorm,Branded Drug,844722,CCB
19003921,Nifedipine 10 MG Oral Capsule [Adalate],RxNorm,Branded Drug,104412,CCB
40224173,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Tribenzor],RxNorm,Branded Drug,999971,CCB
974883,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],RxNorm,Branded Drug,848144,CCB
40224167,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],RxNorm,Branded Drug,999990,CCB
19134257,Felodipine 2.5 MG Extended Release Oral Tablet [Plendil],RxNorm,Branded Drug,844437,CCB
19134645,Nifedipine 60 MG Extended Release Oral Tablet [Nifedical],RxNorm,Branded Drug,844830,CCB
40232340,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],RxNorm,Branded Drug,1050811,CCB
19134749,Nisoldipine 20 MG Extended Release Oral Tablet [Sular],RxNorm,Branded Drug,844942,CCB
1318953,Osmotic 24 HR Nifedipine 60 MG Extended Release Oral Tablet [Nifedical],RxNorm,Branded Drug,351438,CCB
19134403,Nifedipine 30 MG Extended Release Oral Tablet [Procardia],RxNorm,Branded Drug,844584,CCB
19134657,Nifedipine 30 MG Extended Release Oral Tablet [Nifedical],RxNorm,Branded Drug,844846,CCB
1312778,Amlodipine 5 MG / Olmesartan medoxomil 20 MG Oral Tablet [Azor],RxNorm,Branded Drug,744632,CCB
1312777,Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor],RxNorm,Branded Drug,744628,CCB
19134280,Nifedipine 20 MG Extended Release Oral Capsule [Coracten],RxNorm,Branded Drug,844460,CCB
19134264,Nifedipine 20 MG Extended Release Oral Tablet [Genalat Retard],RxNorm,Branded Drug,844444,CCB
19134254,Nifedipine 10 MG Extended Release Oral Tablet [Cardilate MR],RxNorm,Branded Drug,844434,CCB
40232343,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],RxNorm,Branded Drug,1050814,CCB
19134275,Nifedipine 20 MG Extended Release Oral Tablet [Adalat Retard 20],RxNorm,Branded Drug,844455,CCB
40167844,Amlodipine 10 MG / telmisartan 40 MG Oral Tablet [Twynsta],RxNorm,Branded Drug,876518,CCB
40165088,Nicardipine hydrochloride 30 MG Oral Capsule [Cardene],RxNorm,Branded Drug,858617,CCB
19134545,Nifedipine 20 MG Extended Release Oral Tablet [Nivaten Retard],RxNorm,Branded Drug,844728,CCB
19033959,Isradipine 2.5 MG Oral Capsule [Dynacirc],RxNorm,Branded Drug,206935,CCB
19134905,Nisoldipine 25.5 MG Extended Release Oral Tablet [Sular],RxNorm,Branded Drug,845098,CCB
1332531,Amlodipine 5 MG / valsartan 160 MG Oral Tablet [Exforge],RxNorm,Branded Drug,724891,CCB
19134250,Nifedipine 10 MG Extended Release Oral Tablet [Nimodrel MR 10],RxNorm,Branded Drug,844430,CCB
19134236,Nifedipine 20 MG Extended Release Oral Tablet [Angiopine MR],RxNorm,Branded Drug,844416,CCB
19134813,Nifedipine 90 MG Extended Release Oral Tablet [Adalat],RxNorm,Branded Drug,845006,CCB
19128151,Amlodipine 10 MG / atorvastatin 20 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750203,CCB
19134751,Nisoldipine 40 MG Extended Release Oral Tablet [Sular],RxNorm,Branded Drug,844944,CCB
19134263,Nifedipine 10 MG Extended Release Oral Tablet [Genalat Retard],RxNorm,Branded Drug,844443,CCB
19129584,Nisoldipine 8.5 MG Extended Release Oral Tablet [Sular],RxNorm,Branded Drug,763499,CCB
19012420,Nifedipine 5 MG Oral Capsule [Adalat],RxNorm,Branded Drug,150753,CCB
19134248,Nifedipine 30 MG Extended Release Oral Tablet [Unipine XL],RxNorm,Branded Drug,844428,CCB
19128167,Amlodipine 5 MG / atorvastatin 40 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750235,CCB
19134817,Nisoldipine 10 MG Extended Release Oral Tablet [Sular],RxNorm,Branded Drug,845009,CCB
40168082,Nifedipine 90 MG Extended Release Oral Tablet [Nifediac],RxNorm,Branded Drug,880438,CCB
19134244,Nifedipine 10 MG Extended Release Oral Tablet [Adipine MR 10],RxNorm,Branded Drug,844424,CCB
45892985,Amlodipine 10 MG / Perindopril arginine 14 MG Oral Tablet [Prestalia],RxNorm,Branded Drug,1600722,CCB
19017657,lercanidipine 10 MG Oral Tablet [Zanidip],RxNorm,Branded Drug,153681,CCB
19036476,Nimodipine 30 MG Oral Capsule [Nimotop],RxNorm,Branded Drug,207779,CCB
19134279,Nifedipine 10 MG Extended Release Oral Tablet [Adalat Retard 10],RxNorm,Branded Drug,844459,CCB
19134249,Nifedipine 20 MG Extended Release Oral Tablet [Nimodrel MR 20],RxNorm,Branded Drug,844429,CCB
19134237,Felodipine 5 MG Extended Release Oral Tablet [Plendil],RxNorm,Branded Drug,844417,CCB
19024112,Nifedipine 5 MG Oral Capsule [Vasad],RxNorm,Branded Drug,200883,CCB
1332420,Amlodipine 2.5 MG Oral Tablet [Norvasc],RxNorm,Branded Drug,212542,CCB
40226392,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],RxNorm,Branded Drug,1009319,CCB
19134241,Nifedipine 20 MG Extended Release Oral Tablet [Adipine MR 20],RxNorm,Branded Drug,844421,CCB
19000879,Nifedipine 5 MG Oral Capsule [Calcipine],RxNorm,Branded Drug,102337,CCB
19134811,Nifedipine 30 MG Extended Release Oral Tablet [Adalat],RxNorm,Branded Drug,845004,CCB
